"STATION","NAME","DATE","TMAX","TMIN"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-10","59","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-11","59","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-12","60","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-13","56","37"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-14",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-15","58","36"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-16","59","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-17","59","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-18","56","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-19","56","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-20","56","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-21","56","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-22",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-23",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-24",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-25","59","42"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-26","59","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-27","58","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-28","62","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-29","61","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-30","61","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-05-31","61","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-01","60","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-02",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-03","60","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-04",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-05","61","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-06","58","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-07","58","34"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-08",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-09","58","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-10","58","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-11","57","46"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-12","59","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-13","61","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-14","61","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-15","61","48"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-16","62","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-17","65","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-18",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-19","58","43"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-20",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-21","53","46"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-22","55","47"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-23","59","38"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-24","62","38"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-25","63","38"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-26","62","38"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-27","62","39"
