"STATION,""NAME"",""DATE"",""TMAX"",""TMIN"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-09"",""74"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-10"",""63"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-11"",""60"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-12"",""57"",""48"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-13"",""63"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-14"",""68"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-15"",""60"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-16"",""55"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-17"",""61"",""45"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-18"",""57"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-19"",""60"",""47"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-20"",""65"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-21"",""71"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-22"",""72"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-23"",""70"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-24"",""59"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-25"",""58"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-26"",""58"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-27"",""63"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-28"",""63"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-29"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-04-30"",""60"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-01"",""62"",""49"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-02"",""60"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-03"",""58"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-04"",""62"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-05"",""57"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-06"",""59"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-07"",""66"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-08"",""59"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-09"",""62"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-10"",""66"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-11"",""69"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-12"",""69"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-13"",""61"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-14"",""58"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-15"",""63"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-16"",""63"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-17"",""62"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-18"",""60"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-19"",""59"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-20"",""59"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-21"",""61"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-22"",""57"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-23"",""59"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-24"",""61"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-25"",""63"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-26"",""63"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-27"",""70"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-28"",""77"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-29"",""69"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-30"",""58"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-05-31"",""60"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-01"",""68"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-02"",""78"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-03"",""73"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-04"",""64"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-05"",""63"",""50"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-06"",""60"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-07"",""61"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-08"",""64"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-09"",""63"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-10"",""65"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-11"",""67"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-12"",""71"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-13"",""75"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-14"",""64"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-15"",""59"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-16"",""67"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-17"",""66"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-18"",""63"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-19"",""60"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-20"",""59"",""52"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-21"",""69"",""51"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-22"",""71"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-23"",""80"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-24"",""73"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-25"",""64"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-26"",""64"",""53"""
